league_id,name,type,country,country_code,season,season_start,season_end,logo,flag,standings,is_current,coverage_standings,coverage_fixtures_events,coverage_fixtures_lineups,coverage_fixtures_statistics,coverage_fixtures_players_statistics,coverage_players,coverage_topscorers,coverage_predictions,coverage_odds
1431,Liga Alef,League,Israel,IL,2016,2016-09-16,2017-05-19,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1432,Japan Football League,League,Japan,JP,2020,2020-03-15,2020-11-29,https://media.api-sports.io/football/leagues/497.png,https://media.api-sports.io/flags/jp.svg,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1433,Japan Football League,League,Japan,JP,2019,2019-03-17,2019-12-01,https://media.api-sports.io/football/leagues/497.png,https://media.api-sports.io/flags/jp.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1434,Japan Football League,League,Japan,JP,2018,2018-03-11,2018-11-18,https://media.api-sports.io/football/leagues/497.png,https://media.api-sports.io/flags/jp.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1435,Japan Football League,League,Japan,JP,2017,2017-03-05,2017-11-12,https://media.api-sports.io/football/leagues/497.png,https://media.api-sports.io/flags/jp.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1436,Cup,Cup,Kazakhstan,KZ,2020,2020-03-16,2020-03-26,https://media.api-sports.io/football/leagues/498.png,https://media.api-sports.io/flags/kz.svg,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1437,Cup,Cup,Kazakhstan,KZ,2019,2019-03-23,2019-10-06,https://media.api-sports.io/football/leagues/498.png,https://media.api-sports.io/flags/kz.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1438,Cup,Cup,Kazakhstan,KZ,2018,2018-03-18,2018-11-24,https://media.api-sports.io/football/leagues/498.png,https://media.api-sports.io/flags/kz.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1439,Cup,Cup,Kazakhstan,KZ,2017,2017-03-28,2017-10-14,https://media.api-sports.io/football/leagues/498.png,https://media.api-sports.io/flags/kz.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1440,Malaysia Cup,Cup,Malaysia,MY,2019,2019-08-02,2019-11-02,https://media.api-sports.io/football/leagues/499.png,https://media.api-sports.io/flags/my.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1441,Malaysia Cup,Cup,Malaysia,MY,2018,2018-08-04,2018-10-27,https://media.api-sports.io/football/leagues/499.png,https://media.api-sports.io/flags/my.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1442,FA Cup,Cup,Malaysia,MY,2020,2020-02-15,2020-02-23,https://media.api-sports.io/football/leagues/500.png,https://media.api-sports.io/flags/my.svg,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1443,Copa Paraguay,Cup,Paraguay,PY,2019,2019-05-28,2019-12-05,https://media.api-sports.io/football/leagues/501.png,https://media.api-sports.io/flags/py.svg,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1444,Copa Bicentenario,Cup,Peru,PE,2019,2019-06-21,2019-11-08,https://media.api-sports.io/football/leagues/502.png,https://media.api-sports.io/flags/pe.svg,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1445,Copa Perú,Cup,Peru,PE,2019,2019-10-26,2019-12-01,https://media.api-sports.io/football/leagues/503.png,https://media.api-sports.io/flags/pe.svg,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1446,King's Cup,Cup,Saudi-Arabia,SA,2020,2019-11-03,2020-11-29,https://media.api-sports.io/football/leagues/504.png,https://media.api-sports.io/flags/sa.svg,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1447,King's Cup,Cup,Saudi-Arabia,SA,2019,2019-01-01,2019-05-02,https://media.api-sports.io/football/leagues/504.png,https://media.api-sports.io/flags/sa.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1448,King's Cup,Cup,Saudi-Arabia,SA,2018,2018-01-03,2018-05-12,https://media.api-sports.io/football/leagues/504.png,https://media.api-sports.io/flags/sa.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
